attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eadl1,BPSK,18,False,EADL1+Top20,1.0,0.635
eadl1,BPSK,18,False,EADL1+Top20+AMC,0.65,0.635
eadl1,BPSK,18,False,Clean+Top20,1.0,-1
eadl1,BPSK,18,False,EADL1+Top50,1.0,0.605
eadl1,BPSK,18,False,EADL1+Top50+AMC,0.615,0.605
eadl1,BPSK,18,False,Clean+Top50,1.0,-1
eadl1,QPSK,18,False,Clean,1.0,1.0
eadl1,QPSK,18,False,Clean+AMC,1.0,1.0
eadl1,QPSK,18,False,EADL1,1.0,0.0
eadl1,QPSK,18,False,EADL1+AMC,0.015,0.0
eadl1,QPSK,18,False,EADL1+Top10,0.78,0.0
eadl1,QPSK,18,False,EADL1+Top10+AMC,0.005,0.0
eadl1,QPSK,18,False,Clean+Top10,0.795,-1
eadl1,QPSK,18,False,EADL1+Top20,1.0,0.56
eadl1,QPSK,18,False,EADL1+Top20+AMC,0.56,0.56
eadl1,QPSK,18,False,Clean+Top20,1.0,-1
eadl1,QPSK,18,False,EADL1+Top50,1.0,0.67
eadl1,QPSK,18,False,EADL1+Top50+AMC,0.67,0.67
eadl1,QPSK,18,False,Clean+Top50,1.0,-1
eadl1,QPSK,18,True,Clean,1.0,0.035
eadl1,QPSK,18,True,Clean+AMC,0.035,0.035
eadl1,QPSK,18,True,EADL1,1.0,0.0
eadl1,QPSK,18,True,EADL1+AMC,0.0,0.0
eadl1,QPSK,18,True,EADL1+Top10,1.0,0.0
eadl1,QPSK,18,True,EADL1+Top10+AMC,0.0,0.0
eadl1,QPSK,18,True,Clean+Top10,1.0,-1
eadl1,QPSK,18,True,EADL1+Top20,1.0,0.0
eadl1,QPSK,18,True,EADL1+Top20+AMC,0.0,0.0
eadl1,QPSK,18,True,Clean+Top20,1.0,-1
eadl1,QPSK,18,True,EADL1+Top50,1.0,0.0
eadl1,QPSK,18,True,EADL1+Top50+AMC,0.0,0.0
