attack,param_name,param_value,snr,defense,accuracy,n_samples
pgd,eps,0.03,18,spectral_gated,0.5418181818181819,2200
pgd,eps,0.03,18,kalman,0.5722727272727273,2200
pgd,eps,0.03,18,wiener,0.5390909090909091,2200
pgd,eps,0.03,18,savitzky_golay,0.5522727272727272,2200
pgd,eps,0.03,18,gaussian,0.54,2200
pgd,eps,0.03,18,fir,0.5954545454545455,2200
pgd,eps,0.03,18,rand_smooth,0.25727272727272726,2200
fgsm,eps,0.05,0,no_defense,0.21045454545454545,2200
fgsm,eps,0.05,0,adaptive_k_v2_snr,0.2459090909090909,2200
fgsm,eps,0.05,0,adaptive_k,0.21954545454545454,2200
fgsm,eps,0.05,0,spectral_gated,0.23272727272727273,2200
fgsm,eps,0.05,0,kalman,0.23227272727272727,2200
fgsm,eps,0.05,0,wiener,0.24727272727272728,2200
fgsm,eps,0.05,0,savitzky_golay,0.255,2200
fgsm,eps,0.05,0,gaussian,0.21454545454545454,2200
fgsm,eps,0.05,0,fir,0.23454545454545456,2200
fgsm,eps,0.05,0,rand_smooth,0.21818181818181817,2200
fgsm,eps,0.05,2,no_defense,0.34545454545454546,2200
fgsm,eps,0.05,2,adaptive_k_v2_snr,0.37454545454545457,2200
fgsm,eps,0.05,2,adaptive_k,0.37863636363636366,2200
fgsm,eps,0.05,2,spectral_gated,0.35,2200
fgsm,eps,0.05,2,kalman,0.34545454545454546,2200
fgsm,eps,0.05,2,wiener,0.34954545454545455,2200
fgsm,eps,0.05,2,savitzky_golay,0.3286363636363636,2200
fgsm,eps,0.05,2,gaussian,0.33090909090909093,2200
fgsm,eps,0.05,2,fir,0.3290909090909091,2200
fgsm,eps,0.05,2,rand_smooth,0.24454545454545454,2200
fgsm,eps,0.05,4,no_defense,0.41954545454545455,2200
fgsm,eps,0.05,4,adaptive_k_v2_snr,0.4659090909090909,2200
fgsm,eps,0.05,4,adaptive_k,0.47363636363636363,2200
fgsm,eps,0.05,4,spectral_gated,0.43272727272727274,2200
fgsm,eps,0.05,4,kalman,0.425,2200
fgsm,eps,0.05,4,wiener,0.41954545454545455,2200
fgsm,eps,0.05,4,savitzky_golay,0.3990909090909091,2200
fgsm,eps,0.05,4,gaussian,0.40045454545454545,2200
fgsm,eps,0.05,4,fir,0.4068181818181818,2200
fgsm,eps,0.05,4,rand_smooth,0.24045454545454545,2200
fgsm,eps,0.05,6,no_defense,0.4577272727272727,2200
fgsm,eps,0.05,6,adaptive_k_v2_snr,0.49727272727272726,2200
fgsm,eps,0.05,6,adaptive_k,0.49636363636363634,2200
fgsm,eps,0.05,6,spectral_gated,0.4627272727272727,2200
fgsm,eps,0.05,6,kalman,0.46545454545454545,2200
fgsm,eps,0.05,6,wiener,0.46954545454545454,2200
fgsm,eps,0.05,6,savitzky_golay,0.4409090909090909,2200
fgsm,eps,0.05,6,gaussian,0.45136363636363636,2200
fgsm,eps,0.05,6,fir,0.4354545454545454,2200
fgsm,eps,0.05,6,rand_smooth,0.255,2200
fgsm,eps,0.05,8,no_defense,0.4918181818181818,2200
fgsm,eps,0.05,8,adaptive_k_v2_snr,0.5168181818181818,2200
fgsm,eps,0.05,8,adaptive_k,0.515,2200
